lonx,latx,alt
-120.49,34.6143,7230.21
-120.49,34.6118,7451.63
-120.49,34.6094,7667.94
-120.49,34.607,7879.13
-120.49,34.6046,8085.44
-120.49,34.6023,8286.98
-120.49,34.6,8483.91
-120.49,34.5977,8676.34
-120.49,34.5954,8864.38
-120.49,34.5932,9048.15
-120.49,34.591,9227.75
-120.49,34.5888,9403.26
-120.49,34.5866,9574.77
-120.49,34.5844,9742.35
-120.49,34.5823,9906.08
-120.49,34.5802,10066
-120.49,34.5781,10222.2
-120.49,34.576,10374.7
-120.49,34.5739,10523.7
-120.49,34.5718,10669
-120.49,34.5698,10810.9
-120.49,34.5678,10949.3
-120.49,34.5658,11084.3
-120.49,34.5638,11215.9
-120.49,34.5618,11344.3
-120.49,34.5598,11469.3
-120.49,34.5579,11591.1
-120.49,34.5559,11709.7
-120.49,34.554,11825.2
-120.49,34.5521,11937.5
-120.49,34.5502,12046.8
-120.49,34.5483,12153
-120.49,34.5464,12256.1
-120.49,34.5445,12356.3
-120.49,34.5426,12453.4
-120.49,34.5408,12547.6
-120.49,34.5389,12638.8
-120.49,34.5371,12727.1
-120.49,34.5353,12812.5
-120.49,34.5335,12895
-120.491,34.5317,12974.6
-120.491,34.5299,13051.4
-120.491,34.5281,13125.3
-120.491,34.5263,13196.4
-120.491,34.5246,13264.7
-120.491,34.5228,13330.2
-120.491,34.5211,13392.9
-120.491,34.5193,13452.9
-120.491,34.5176,13510.1
-120.491,34.5159,13564.6
-120.491,34.5142,13616.4
-120.491,34.5125,13665.5
-120.491,34.5108,13712
-120.491,34.5091,13755.7
-120.491,34.5074,13796.9
-120.491,34.5058,13835.4
-120.491,34.5041,13871.2
-120.491,34.5025,13904.5
-120.491,34.5008,13935.2
-120.491,34.4992,13963.3
-120.491,34.4976,13988.8
-120.491,34.496,14011.8
-120.491,34.4943,14032.3
-120.491,34.4928,14050.2
-120.491,34.4912,14065.6
-120.491,34.4896,14078.5
-120.491,34.488,14089
-120.491,34.4864,14096.9
-120.491,34.4849,14102.4
-120.491,34.4833,14105.4
-120.491,34.4818,14106
-120.491,34.4802,14104.2
-120.491,34.4787,14099.9
-120.491,34.4772,14093.2
-120.491,34.4757,14084.2
-120.491,34.4742,14072.7
-120.491,34.4727,14058.9
-120.491,34.4712,14042.7
-120.491,34.4697,14024.1
-120.491,34.4682,14003.2
-120.491,34.4667,13980
-120.491,34.4652,13954.4
-120.491,34.4638,13926.6
-120.491,34.4623,13896.4
-120.491,34.4609,13863.9
-120.491,34.4594,13829.2
-120.491,34.458,13792.1
-120.491,34.4566,13752.9
-120.491,34.4552,13711.3
-120.491,34.4537,13667.5
-120.491,34.4523,13621.5
-120.491,34.4509,13573.3
-120.491,34.4495,13522.9
-120.491,34.4481,13470.3
-120.491,34.4468,13415.5
-120.491,34.4454,13358.5
-120.491,34.444,13299.4
-120.491,34.4426,13238.2
-120.491,34.4413,13174.8
-120.491,34.4399,13109.3
-120.491,34.4386,13041.7
-120.491,34.4373,12972.1
-120.491,34.4359,12900.3
-120.491,34.4346,12826.5
-120.491,34.4333,12750.7
-120.491,34.432,12672.9
-120.492,34.4307,12593
-120.492,34.4294,12511.2
-120.492,34.4281,12427.4
-120.492,34.4268,12341.6
-120.492,34.4256,12253.9
-120.492,34.4243,12164.4
-120.492,34.423,12072.9
-120.492,34.4218,11979.5
-120.492,34.4206,11884.3
-120.492,34.4193,11787.3
-120.492,34.4181,11688.5
-120.492,34.4169,11587.9
-120.492,34.4157,11485.6
-120.492,34.4145,11381.5
-120.492,34.4133,11275.7
-120.492,34.4121,11168.3
-120.492,34.4109,11059.2
-120.492,34.4098,10948.4
-120.492,34.4086,10836.1
-120.492,34.4075,10722.2
-120.492,34.4063,10606.8
-120.492,34.4052,10489.9
