time,psibdx,psivdx,lonx,latx,alt,dvbe,thtvdx,VBED1,VBED2,VBED3
0,180,-180,-120.49,34.68,100.004,1.05073,59.3354,-0.535886,-7.41861e-07,-0.903808
0.5,-180,-179.997,-120.49,34.68,102.348,11.471,47.6768,-7.72357,-0.000454122,-8.48121
1,-180,-179.994,-120.49,34.6799,108.496,21.9868,47.1725,-14.9465,-0.00166205,-16.1252
1.5,-180,-179.991,-120.49,34.6798,118.484,32.5753,47.0345,-22.202,-0.00362782,-23.8374
2,-180,-179.988,-120.49,34.6797,132.345,43.2353,46.9984,-29.4873,-0.0063532,-31.6195
2.5,-180,-179.985,-120.49,34.6796,150.115,53.966,47.0074,-36.7996,-0.00983841,-39.473
3,-180,-179.982,-120.49,34.6794,171.83,64.7669,47.0417,-44.1364,-0.0140821,-47.3997
3.5,-180,-179.979,-120.49,34.6792,197.527,75.6375,47.0926,-51.4951,-0.0190816,-55.4011
4,-180,-179.976,-120.49,34.6789,227.243,86.5773,47.1558,-58.8732,-0.0248324,-63.4789
4.5,-180,-179.973,-120.49,34.6787,261.018,97.586,47.2285,-66.2684,-0.0313291,-71.6347
5,-180,-179.97,-120.49,34.6783,298.89,108.663,47.309,-73.6785,-0.0385647,-79.8697
5.5,-180,-179.967,-120.49,34.678,340.9,119.807,47.396,-81.1008,-0.0465311,-88.184
6,-180,-179.964,-120.49,34.6776,387.087,131.017,47.4884,-88.5335,-0.0552192,-96.5781
6.5,-180,-179.961,-120.49,34.6772,437.49,142.293,47.5855,-95.9747,-0.0646192,-105.052
7,-180,-179.959,-120.49,34.6767,492.151,153.633,47.6866,-103.423,-0.0747207,-113.607
7.5,-180,-179.956,-120.49,34.6763,551.11,165.037,47.7908,-110.878,-0.0855127,-122.242
8,-180,-179.953,-120.49,34.6757,614.405,176.504,47.8978,-118.338,-0.0969833,-130.957
8.5,-179.999,-179.95,-120.49,34.6752,682.078,188.034,48.0068,-125.803,-0.109121,-139.751
