1,input_ballistic.asc,Three-stage,rocket,ascent
0,0,20,,
time,psibdx,thtbdx,phibdx,alppx
phipx,alphax,betax,qqx,lonx
latx,alt,dvbe,dvbi,psivdx
thtvdx,SBII1,SBII2,SBII3,grndtrck
0,180,60,0,0
0,0,-4.17936e-16,-4.26297e-09,-120.49
34.68,100.004,1.05059,1.05059,-180
59.336,-2.66416e+06,-4.52465e+06,3.60893e+06,0.00267887
0.5,-180,60,0,9.58102
0,12.3223,-3.64422e-13,-3.99862e-05,-120.49
34.68,102.345,11.4571,11.4571,-180
47.6675,-2.66416e+06,-4.52465e+06,3.60893e+06,2.08181
1,-180,60,0,11.5541
0,12.8355,-3.48064e-13,-0.000285008,-120.49
34.6799,108.485,21.9591,21.9591,-180
47.1621,-2.66417e+06,-4.52466e+06,3.60893e+06,7.7596
1.5,-180,59.9998,1.20742e-06,12.1322
0,12.9753,-3.45926e-13,-0.00093027,-120.49
34.6798,118.458,32.5338,32.5338,-180
47.0237,-2.66417e+06,-4.52467e+06,3.60893e+06,17.053
2,-180,59.9992,0,12.3802
0,13.0116,-3.16568e-13,-0.00217778,-120.49
34.6797,132.299,43.18,43.18,-180
46.9875,-2.66418e+06,-4.52469e+06,3.60892e+06,29.9775
2.5,-180,59.9978,1.20742e-06,12.4951
0,13.0018,-3.01775e-13,-0.00423605,-120.49
34.6796,150.043,53.897,53.897,-180
46.9962,-2.66419e+06,-4.52471e+06,3.60892e+06,46.5475
3,-180,59.9951,0,12.5408
0,12.9654,-3.30273e-13,-0.00731975,-120.49
34.6794,171.726,64.6842,64.6842,-180
47.0302,-2.66421e+06,-4.52474e+06,3.60891e+06,66.7758
3.5,-180,59.9907,1.20742e-06,12.5442
0,12.9107,-3.33365e-13,-0.0116494,-120.49
34.6792,197.385,75.5412,75.5412,-180
47.0805,-2.66423e+06,-4.52477e+06,3.60891e+06,90.6742
4,-180,59.9837,0,12.5183
0,12.8417,-3.46556e-13,-0.017451,-120.49
34.6789,227.058,86.4677,86.4677,-180
47.1427,-2.66425e+06,-4.5248e+06,3.6089e+06,118.253
4.5,-180,59.9735,0,12.4701
0,12.7603,-3.50739e-13,-0.0249555,-120.49
34.6787,260.782,97.4634,97.4634,-180
47.214,-2.66427e+06,-4.52484e+06,3.6089e+06,149.522
5,-180,59.9591,0,12.4036
0,12.6675,-3.20279e-13,-0.0343986,-120.49
34.6783,298.598,108.528,108.528,-180
47.2925,-2.6643e+06,-4.52488e+06,3.60889e+06,184.49
5.5,-180,59.9395,1.70755e-06,12.3211
0,12.5637,-3.5588e-13,-0.0460201,-120.49
34.678,340.544,119.66,119.66,-180
47.3767,-2.66432e+06,-4.52493e+06,3.60888e+06,223.165
6,-180,59.9136,2.09131e-06,12.2239
0,12.449,-3.72896e-13,-0.0600631,-120.49
34.6776,386.658,130.859,130.859,-180
47.4655,-2.66436e+06,-4.52499e+06,3.60887e+06,265.552
6.5,-180,59.88,0,12.1126
0,12.3232,-3.90897e-13,-0.076774,-120.49
34.6772,436.981,142.124,142.124,-180
47.5577,-2.66439e+06,-4.52504e+06,3.60886e+06,311.659
7,-180,59.8374,0,11.9875
0,12.1858,-3.81183e-13,-0.0964015,-120.49
34.6767,491.551,153.455,153.455,-180
47.6525,-2.66443e+06,-4.52511e+06,3.60885e+06,361.492
7.5,-180,59.7842,0,11.8482
0,12.0362,-3.78807e-13,-0.119196,-120.49
34.6763,550.407,164.851,164.851,-180
47.7489,-2.66447e+06,-4.52517e+06,3.60884e+06,415.057
8,-180,59.7188,0,11.6945
0,11.8737,-3.92946e-13,-0.14541,-120.49
34.6757,613.587,176.313,176.313,-180
47.8461,-2.66451e+06,-4.52525e+06,3.60883e+06,472.36
8.5,-180,59.6395,0,11.5256
0,11.6974,-3.93634e-13,-0.175297,-120.49
34.6752,681.127,187.841,187.841,-180
47.9431,-2.66456e+06,-4.52533e+06,3.60882e+06,533.408
9,-180,59.5443,0,11.3411
0,11.5065,-4.09812e-13,-0.209108,-120.49
34.6746,753.065,199.433,199.433,-180
48.0388,-2.66461e+06,-4.52541e+06,3.60881e+06,598.209
9.5,-180,59.4313,0,11.1408
0,11.3006,-4.00634e-13,-0.247097,-120.49
34.674,829.434,211.083,211.083,-180
48.1316,-2.66466e+06,-4.5255e+06,3.6088e+06,666.773
10,-180,59.2982,1.20742e-06,10.9252
0,11.08,-3.8184e-13,-0.289505,-120.49
34.6733,910.258,222.764,222.764,-180
48.2191,-2.66471e+06,-4.52559e+06,3.60878e+06,739.104
10.5,-180,59.1428,0,10.6932
0,10.8438,-3.77534e-13,-0.336565,-120.49
34.6727,995.55,234.467,234.467,-180
48.2998,-2.66477e+06,-4.52569e+06,3.60877e+06,815.208
11,-180,58.9627,1.70755e-06,10.444
0,10.591,-3.82159e-13,-0.388503,-120.49
34.6719,1085.32,246.185,246.185,-180
48.3724,-2.66483e+06,-4.52579e+06,3.60875e+06,895.087
11.5,-180,58.7554,1.20742e-06,10.1765
0,10.3207,-3.83575e-13,-0.445532,-120.49
