time            psibdx          thtbdx          lonx            latx            alt             dvbe            VBED1           VBED2           VBED3           grndtrck        thrust          
0               180             60              -120.49         34.68           100.004         1.05073         -0.535886       -7.41861e-07    -0.903808       0.00267926      1.40763e+06     
0.5             -180            60              -120.49         34.68           102.348         11.471          -7.72357        -0.000454122    -8.48121        2.08385         1.40763e+06     
1               -180            60              -120.49         34.6799         108.496         21.9868         -14.9465        -0.00166205     -16.1252        7.76766         1.40763e+06     
1.5             -180            60              -120.49         34.6798         118.484         32.5753         -22.202         -0.00362782     -23.8374        17.071          1.40763e+06     
2               -180            59.9997         -120.49         34.6797         132.345         43.2353         -29.4873        -0.0063532      -31.6195        30.0095         1.40763e+06     
2.5             -180            59.9991         -120.49         34.6796         150.115         53.966          -36.7996        -0.00983841     -39.473         46.5973         1.40763e+06     
3               -180            59.9979         -120.49         34.6794         171.83          64.7669         -44.1364        -0.0140821      -47.3997        66.8472         1.40763e+06     
3.5             -180            59.9957         -120.49         34.6792         197.527         75.6375         -51.4951        -0.0190816      -55.4011        90.7708         1.40763e+06     
4               -180            59.9924         -120.49         34.6789         227.243         86.5773         -58.8732        -0.0248324      -63.4789        118.378         1.40763e+06     
4.5             -180            59.9874         -120.49         34.6787         261.018         97.586          -66.2684        -0.0313291      -71.6347        149.679         1.40763e+06     
5               -180            59.9803         -120.49         34.6783         298.89          108.663         -73.6785        -0.0385647      -79.8697        184.68          1.40763e+06     
5.5             -180            59.9707         -120.49         34.678          340.9           119.807         -81.1008        -0.0465311      -88.184         223.39          1.40763e+06     
6               -180            59.9579         -120.49         34.6776         387.087         131.017         -88.5335        -0.0552192      -96.5781        265.812         1.40763e+06     
6.5             -180            59.9412         -120.49         34.6772         437.49          142.293         -95.9747        -0.0646192      -105.052        311.952         1.40763e+06     
7               -180            59.9201         -120.49         34.6767         492.151         153.633         -103.423        -0.0747207      -113.607        361.814         1.40763e+06     
7.5             -180            59.8937         -120.49         34.6763         551.11          165.037         -110.878        -0.0855127      -122.242        415.401         1.40763e+06     
8               -180            59.8612         -120.49         34.6757         614.405         176.504         -118.338        -0.0969833      -130.957        472.715         1.40763e+06     
