time            psibdx          thtbdx          lonx            latx            alt             dvbe            VBED1           VBED2           VBED3           grndtrck        
0               90              60              -120.49         34.68           100.004         1.05075         3.41408e-05     0.53592         -0.903808       0.00267943      
0.5             90              60              -120.49         34.68           102.348         11.481          0.0146728       7.73811         -8.48141        2.08756         
1               90.0001         60              -120.49         34.68           108.497         22.0066         0.0289863       14.9749         -16.1258        7.78217         
1.5             90.0001         59.9998         -120.49         34.68           118.485         32.6042         0.0429465       22.2435         -23.8383        17.1031         
2               90.0002         59.9992         -120.49         34.68           132.346         43.2725         0.0565257       29.5409         -31.6203        30.0654         
2.5             90.0003         59.9978         -120.489        34.68           150.117         54.0104         0.0696972       36.8644         -39.4731        46.6829         
3               90.0004         59.9951         -120.489        34.68           171.831         64.817          0.0824356       44.2113         -47.3982        66.9679         
3.5             90.0005         59.9906         -120.489        34.68           197.527         75.6916         0.0947168       51.5791         -55.3969        90.9313         
4               90.0005         59.9837         -120.489        34.68           227.24          86.6337         0.106519        58.9654         -63.4703        118.583         
4.5             90.0006         59.9734         -120.488        34.68           261.009         97.6427         0.117821        66.3681         -71.6196        149.932         
5               90.0007         59.959          -120.488        34.68           298.872         108.718         0.128607        73.7853         -79.8455        184.985         
5.5             90.0007         59.9393         -120.488        34.68           340.867         119.857         0.138861        81.2146         -88.1471        223.749         
6               90.0007         59.9132         -120.487        34.68           387.032         131.059         0.148572        88.6546         -96.5242        266.23          
6.5             90.0006         59.8795         -120.487        34.68           437.403         142.324         0.157732        96.1044         -104.976        312.433         
7               90.0005         59.8368         -120.486        34.68           492.019         153.649         0.166336        103.564         -113.502        362.362         
7.5             90.0002         59.7834         -120.485        34.68           550.917         165.035         0.174385        111.032         -122.1          416.023         
8               89.9999         59.7179         -120.485        34.68           614.13          176.48          0.181878        118.51          -130.769        473.419         
8.5             89.9995         59.6383         -120.484        34.68           681.696         187.984         0.188824        126             -139.506        534.556         
9               89.999          59.5429         -120.483        34.68           753.647         199.546         0.195236        133.503         -148.31         599.439         
9.5             89.9983         59.4296         -120.483        34.68           830.014         211.155         0.20113         141.016         -157.165        668.076         
10              89.9975         59.2962         -120.482        34.68           910.814         222.775         0.20653         148.527         -166.037        740.467         
10.5            89.9965         59.1405         -120.481        34.68           996.051         234.396         0.211465        156.034         -174.913        816.612         
11              89.9953         58.9602         -120.48         34.68           1085.72         246.006         0.215971        163.538         -183.777        896.507         
11.5            89.994          58.7527         -120.479        34.68           1179.82         257.594         0.220086        171.041         -192.612        980.152         
12              89.9925         58.5155         -120.478        34.68           1278.33         269.15          0.223858        178.546         -201.402        1067.55         
12.5            89.9908         58.246          -120.477        34.68           1381.21         280.636         0.227346        186.045         -210.105        1158.69         
13              89.9889         57.9414         -120.476        34.68           1488.41         292.018         0.230616        193.532         -218.678        1253.58         
13.5            89.9868         57.5989         -120.475        34.68           1599.86         303.277         0.233724        201.009         -227.096        1352.2          
14              89.9845         57.2157         -120.474        34.68           1715.47         314.395         0.236728        208.479         -235.332        1454.56         
14.5            89.982          56.789          -120.473        34.68           1835.16         325.356         0.239648        215.938         -243.366        1560.65         
15              89.9793         56.3158         -120.472        34.68           1958.8          336.14          0.242461        223.374         -251.185        1670.46         
15.5            89.9765         55.7932         -120.471        34.68           2086.3          346.733         0.24522         230.79          -258.766        1783.98         
16              89.9735         55.2183         -120.469        34.68           2217.53         357.166         0.248013        238.221         -266.118        1901.2          
16.5            89.9704         54.5882         -120.468        34.68           2352.39         367.524         0.250954        245.737         -273.29         2022.16         
17              89.9672         53.9001         -120.467        34.68           2490.78         377.807         0.254109        253.358         -280.264        2146.89         
17.5            89.9639         53.1509         -120.465        34.68           2632.61         388.011         0.257509        261.093         -287.024        2275.46         
18              89.9605         52.3377         -120.464        34.68           2777.77         398.137         0.261199        268.96          -293.553        2407.93         
18.5            89.9572         51.4576         -120.462        34.68           2926.14         408.306         0.265295        277.058         -299.92         2544.37         
19              89.9538         50.5077         -120.461        34.68           3077.66         418.575         0.269836        285.439         -306.152        2684.93         
19.5            89.9505         49.4848         -120.459        34.68           3232.27         428.952         0.27483         294.125         -312.234        2829.75         
