time            psibdx          thtbdx          lonx            latx            alt             dvbe            VBED1           VBED2           VBED3           grndtrck        
0               90              60              -120.49         34.68           100.004         1.05075         3.41408e-05     0.53592         -0.903808       0.00267943      
0.5             90              60              -120.49         34.68           102.348         11.481          0.0146728       7.73814         -8.48146        2.08756         
1               90.0001         60              -120.49         34.68           108.497         22.007          0.0289863       14.9751         -16.1262        7.78223         
1.5             90.0001         59.9998         -120.49         34.68           118.485         32.6056         0.0429464       22.2442         -23.8395        17.1034         
2               90.0002         59.9992         -120.49         34.68           132.348         43.2757         0.0565256       29.5426         -31.6231        30.0663         
2.5             90.0003         59.9978         -120.489        34.68           150.12          54.0166         0.069697        36.8676         -39.4787        46.6849         
3               90.0004         59.9951         -120.489        34.68           171.839         64.8276         0.0824351       44.2168         -47.4076        66.972          
3.5             90.0005         59.9906         -120.489        34.68           197.54          75.7083         0.094716        51.5877         -55.4117        90.9389         
4               90.0005         59.9837         -120.489        34.68           227.263         86.6584         0.106517        58.978          -63.4922        118.596         
4.5             90.0006         59.9734         -120.488        34.68           261.045         97.6776         0.117819        66.386          -71.6506        149.952         
5               90.0007         59.959          -120.488        34.68           298.926         108.766         0.128603        73.8097         -79.8878        185.016         
5.5             90.0007         59.9393         -120.488        34.68           340.945         119.921         0.138856        81.2472         -88.2037        223.794         
6               90.0007         59.9132         -120.487        34.68           387.142         131.143         0.148564        88.6973         -96.5982        266.294         
6.5             90.0006         59.8795         -120.487        34.68           437.556         142.431         0.157721        96.1593         -105.071        312.521         
7               90.0005         59.8366         -120.486        34.68           492.226         153.785         0.166323        103.633         -113.622        362.482         
7.5             90.0002         59.7832         -120.485        34.68           551.191         165.205         0.174366        111.119         -122.25         416.181         
8               89.9999         59.7176         -120.485        34.68           614.489         176.69          0.181854        118.617         -130.954        473.625         
8.5             89.9995         59.6379         -120.484        34.68           682.157         188.24          0.188792        126.13          -139.733        534.822         
9               89.999          59.5424         -120.483        34.68           754.232         199.855         0.195195        133.661         -148.583        599.777         
9.5             89.9983         59.4288         -120.483        34.68           830.749         211.526         0.201079        141.206         -157.493        668.501         
10              89.9975         59.2951         -120.482        34.68           911.73          223.227         0.206468        148.759         -166.437        740.997         
10.5            89.9965         59.1391         -120.481        34.68           997.189         234.951         0.211391        156.319         -175.403        817.27          
11              89.9953         58.9583         -120.48         34.68           1087.13         246.689         0.215882        163.89          -184.378        897.324         
11.5            89.994          58.7502         -120.479        34.68           1181.56         258.433         0.219983        171.475         -193.349        981.165         
12              89.9925         58.5122         -120.478        34.68           1280.48         270.174         0.223738        179.078         -202.299        1068.8          
12.5            89.9907         58.2416         -120.477        34.68           1383.85         281.883         0.227212        186.695         -211.193        1160.24         
13              89.9888         57.9356         -120.476        34.68           1491.65         293.533         0.23047         194.327         -219.996        1255.49         
13.5            89.9867         57.5914         -120.475        34.68           1603.83         305.11          0.233571        201.978         -228.685        1354.55         
14              89.9844         57.206          -120.474        34.68           1720.32         316.6           0.236575        209.654         -237.236        1457.45         
14.5            89.9819         56.7764         -120.473        34.68           1841.04         327.986         0.23948         217.347         -245.632        1564.18         
15              89.9792         56.2997         -120.472        34.68           1965.92         339.254         0.242283        225.051         -253.86         1674.76         
15.5            89.9764         55.7726         -120.47         34.68           2094.86         350.389         0.245044        232.773         -261.896        1789.19         
16              89.9734         55.1923         -120.469        34.68           2227.79         361.45          0.247874        240.566         -269.767        1907.5          
16.5            89.9703         54.5555         -120.468        34.68           2364.6          372.475         0.250871        248.476         -277.483        2029.72         
17              89.967          53.859          -120.466        34.68           2505.24         383.459         0.2541          256.519         -285.024        2155.93         
17.5            89.9637         53.0998         -120.465        34.68           2649.59         394.399         0.257594        264.707         -292.37         2286.19         
18              89.9603         52.2747         -120.464        34.68           2797.58         405.344         0.261438        273.093         -299.539        2420.59         
18.5            89.9569         51.3803         -120.462        34.68           2949.11         416.391         0.265734        281.764         -306.579        2559.25         
19              89.9536         50.4134         -120.46         34.68           3104.13         427.547         0.270487        290.738         -313.477        2702.31         
19.5            89.9503         49.3707         -120.459        34.68           3262.56         438.819         0.275716        300.045         -320.211        2849.93         
20              89.9472         48.2488         -120.457        34.68           3424.31         450.213         0.281398        309.717         -326.752        3002.29         
20.5            89.9444         47.0441         -120.456        34.68           3589.27         461.724         0.287337        319.795         -333.047        3159.58         
21              89.9425         45.7531         -120.454        34.68           3757.33         473.383         0.293247        330.231         -339.174        3322            
21.5            89.947          44.4648         -120.452        34.68           3928.42         485.211         0.298428        341.016         -345.163        3489.71         
22              89.9518         43.27           -120.45         34.68           4102.46         497.228         0.302186        352.192         -350.993        3662.91         
22.5            89.9566         42.1726         -120.448        34.68           4279.37         509.471         0.304235        363.857         -356.607        3841.8          
23              89.9611         41.1764         -120.446        34.68           4459.04         521.933         0.304279        375.95          -362.044        4026.63         
23.5            89.9654         40.2854         -120.444        34.68           4641.38         534.526         0.302164        388.38          -367.259        4217.59         
24              89.9693         39.5035         -120.442        34.68           4826.26         547.23          0.297861        401.094         -372.27         4414.82         
24.5            89.9729         38.8346         -120.44         34.68           5013.62         560.051         0.291403        414.054         -377.116        4618.46         
25              89.976          38.283          -120.437        34.68           5203.36         572.993         0.282861        427.223         -381.84         4828.63         
25.5            89.9787         37.8526         -120.435        34.68           5395.44         586.065         0.272345        440.564         -386.491        5045.41         
26              89.981          37.5477         -120.432        34.68           5589.84         599.272         0.260001        454.036         -391.124        5268.89         
26.5            89.9828         37.3722         -120.43         34.68           5786.57         612.62          0.246022        467.596         -395.8          5499.11         
27              89.984          37.3305         -120.427        34.6801         5985.66         626.114         0.230649        481.196         -400.586        5736.11         
27.5            89.9847         37.4268         -120.425        34.6801         6187.18         639.745         0.214163        494.779         -405.546        5979.9          
28              89.9847         37.6652         -120.422        34.6801         6391.24         653.47          0.196925        508.254         -410.733        6230.44         
28.5            89.9839         38.0501         -120.419        34.6801         6597.97         667.27          0.179501        521.537         -416.231        6487.65         
29              89.9816         38.5683         -120.416        34.6801         6807.5          681.178         0.161141        534.793         -421.9          6751.47         
29.5            89.9784         38.9991         -120.413        34.6801         7019.9          695.196         0.142177        548.027         -427.742        7021.91         
30              89.9762         39.2711         -120.41         34.6801         7235.28         709.344         0.123378        561.185         -433.867        7298.93         
30.5            89.9752         39.38           -120.407        34.6801         7453.81         723.63          0.104924        574.267         -440.293        7582.48         
31              89.9755         39.3218         -120.404        34.6801         7675.6          738.041         0.0859138       587.37          -446.879        7872.56         
31.5            89.9773         39.0923         -120.401        34.6801         7900.7          752.578         0.0656352       600.569         -453.532        8169.2          
32              89.9805         38.6875         -120.398        34.6801         8129.12         767.246         0.0433293       613.939         -460.157        8472.45         
32.5            89.9854         38.1034         -120.394        34.6801         8360.83         782.045         0.0181116       627.557         -466.655        8782.44         
33              89.9918         37.3362         -120.391        34.6801         8595.73         796.974         -0.011492       641.533         -472.867        9099.29         
33.5            90.0002         36.3819         -120.387        34.6801         8833.66         812.048         -0.0454346      655.851         -478.833        9423.2          
34              90.0123         35.3275         -120.384        34.6801         9074.53         827.286         -0.0835677      670.476         -484.627        9754.32         
34.5            90.0238         34.4486         -120.38         34.6801         9318.26         842.693         -0.126674       685.405         -490.257        10092.8         
35              90.0329         33.7681         -120.376        34.6801         9564.73         858.295         -0.176738       700.754         -495.594        10438.8         
35.5            90.0396         33.2894         -120.372        34.6801         9813.82         874.088         -0.232464       716.429         -500.759        10792.6         
36              90.0438         33.0161         -120.368        34.6801         10065.5         890.075         -0.292128       732.328         -505.894        11154.3         
36.5            90.0453         32.9516         -120.364        34.6801         10319.7         906.256         -0.354082       748.364         -511.128        11523.9         
37              90.0442         33.0993         -120.36         34.68           10576.7         922.617         -0.415925       764.406         -516.629        11901.5         
37.5            90.0401         33.4625         -120.356        34.68           10836.4         939.164         -0.477495       780.458         -522.411        12287           
38              90.0324         33.9787         -120.352        34.68           11099.1         955.911         -0.539483       796.575         -528.425        12680.6         
38.5            90.0263         34.3192         -120.347        34.68           11364.9         972.882         -0.601453       812.778         -534.686        13082.3         
39              90.0238         34.4373         -120.343        34.68           11633.8         990.095         -0.662456       829.053         -541.256        13492           
39.5            90.0252         34.332          -120.338        34.68           11906.2         1007.56         -0.723316       845.439         -548.088        13909.9         
40              90.0306         34.0021         -120.334        34.68           12181.9         1025.26         -0.787661       862.071         -554.977        14336           
40.5            90.04           33.4468         -120.329        34.68           12461.1         1043.22         -0.859439       879.089         -561.711        14770.4         
